"Esquema Homologado de Recolección de Información de Impartición de Justicia 2016
Sistema Tradicional
Tema: Delitos",,,,,,,
"Archivo: DELIT_TA.dbf (Contiene variables que caracterizan los delitos registrados en las causas penales ingresadas en el sistema tradicional en los juzgados de primera instancia de acuerdo con sus características, durante el año 2015.)",,,,,,,
Núm.de campo,Nombre de la columna,Descripcion,Tipo de dato,Longitud,Códigos válidos en la columna,,"Rango
(Los valores NA, NSS y ND equivalen a No aplica, No se sabe y No disponible, respectivamente)"
1,UBICAGEO,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema tradicional en los juzgados de primera instancia, según su entidad federativa y municipio, durante el año 2015.",Carácter,5, ,"01001 ... 32058, 32999, 99999 (los dos primeros caracteres identifican a la entidad federativa y los últimos tres caracteres identifican al municipio)",
2,COD_EXPE,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema tradicional en los juzgados de primera instancia, según su identificador de expediente, durante el año 2015.",Numérico,8,,,
3,COD_DELI,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema tradicional en los juzgados de primera instancia, según su identificador de delito, durante el año 2015.",Numérico,8,,,
4,DELIRIE6,"Clasificación de los delitos registrados en las causas penales ingresadas en el sistema tradicional en los juzgados de primera instancia, según su bien jurídico y tipo, durante el año 2015.",Numérico,4,0,No aplica,
,,,,,1010,La vida y la integridad corporal - Homicidio,
,,,,,1020,La vida y la integridad corporal - Feminicidio,
,,,,,1030,La vida y la integridad corporal - Aborto,
,,,,,1040,La vida y la integridad corporal - Lesiones,
,,,,,1050,La vida y la integridad corporal - Otros delitos que atentan contra la vida y la integridad corporal,
,,,,,2010,La libertad personal - Privación de la Libertad,
,,,,,2020,La libertad personal - Tráfico de Menores,
,,,,,2030,La libertad personal - Retención o sustracción de menores e incapaces,
,,,,,2040,La libertad personal - Rapto,
,,,,,2050,La libertad personal - Desaparición forzada,
,,,,,2060,La libertad personal - Secuestro,
,,,,,2061,La libertad personal - Secuestro extorsivo,
,,,,,2062,La libertad personal - Secuestro con calidad de rehén,
,,,,,2063,La libertad personal - Secuestro para causar daños,
,,,,,2064,La libertad personal - Secuestro exprés,
,,,,,2065,La libertad personal - Otro tipo de secuestros,
,,,,,2070,La libertad personal - Otros delitos que atentan contra la libertad personal,
,,,,,3010,La libertad y la seguridad sexual - Abuso Sexual,
,,,,,3020,La libertad y la seguridad sexual - Acoso Sexual,
,,,,,3030,La libertad y la seguridad sexual - Hostigamiento Sexual,
,,,,,3040,La libertad y la seguridad sexual - Violación,
,,,,,3050,La libertad y la seguridad sexual - Violación Equiparada,
,,,,,3060,La libertad y la seguridad sexual - Estupro,
,,,,,3070,La libertad y la seguridad sexual - Incesto,
,,,,,3080,La libertad y la seguridad sexual - Otros delitos que atentan contra la libertad y seguridad sexual,
,,,,,4010,El patrimonio - Robo,
,,,,,4020,El patrimonio - Robo a casa habitación,
,,,,,4030,El patrimonio - Robo de vehículo,
,,,,,4040,El patrimonio - Robo de autopartes,
,,,,,4050,El patrimonio - Robo a transeúnte en vía pública,
,,,,,4060,El patrimonio - Robo a transeúnte en espacio abierto al público,
,,,,,4070,El patrimonio - Robo a persona en un lugar privado,
,,,,,4080,El patrimonio - Robo a transportista,
,,,,,4090,El patrimonio - Robo en transporte público individual,
,,,,,4100,El patrimonio - Robo en transporte público colectivo,
,,,,,4110,El patrimonio - Robo en transporte individual,
,,,,,4120,El patrimonio - Robo a institución bancaria,
,,,,,4130,El patrimonio - Robo a negocio,
,,,,,4140,El patrimonio - Robo de ganado,
,,,,,4150,El patrimonio - Robo de maquinaria,
,,,,,4160,El patrimonio - Otros robos,
,,,,,4170,El patrimonio - Encubrimiento,
,,,,,4180,El patrimonio - Fraude,
,,,,,4190,El patrimonio - Abuso de confianza,
,,,,,4200,El patrimonio - Extorsión,
,,,,,4210,El patrimonio - Daño a la propiedad,
,,,,,4220,El patrimonio - Despojo,
,,,,,4230,El patrimonio - Otros delitos que atentan contra el patrimonio,
,,,,,5010,La familia - Violencia familiar,
,,,,,5020,La familia - Incumplimiento de obligaciones familiares,
,,,,,5030,La familia - Otros delitos contra la familia,
,,,,,6010,La sociedad - Contra el libre desarrollo de la personalidad,
,,,,,6011,La sociedad - Corrupción de menores e incapaces,
,,,,,6012,La sociedad - Prostitución de menores e incapaces,
,,,,,6013,La sociedad - Pornografía infantil,
,,,,,6014,La sociedad - Lenocinio,
,,,,,6015,La sociedad - Turismo sexual,
,,,,,6016,La sociedad - Otros delitos contra el libre desarrollo de la personalidad,
,,,,,6020,La sociedad - Trata de personas,
,,,,,6021,La sociedad - Trata de personas con fines de explotación sexual,
,,,,,6022,La sociedad - Trata de personas con fines de trabajo o servicios forzados,
,,,,,6023,La sociedad - Trata de personas con fines de tráfico de órganos,
,,,,,6024,La sociedad - Trata de personas con otros fines de explotación,
